iter	RMSE
0	96.1218838
1	94.43161965
2	93.23659931
3	91.90304318
4	90.35843913
5	89.02527525
6	87.78483304
7	86.4666254
8	85.26155558
9	83.99857476
10	82.643658
11	81.49265592
12	80.43930206
13	79.26944216
14	78.03206233
15	76.72407099
16	75.62024184
17	74.45877719
18	73.60416813
19	72.56114579
20	71.39503648
21	70.45254502
22	69.49577743
23	68.5145479
24	67.4908209
25	66.49935076
26	65.52196734
27	64.58006837
28	63.7645817
29	62.86615827
30	61.93101931
31	61.19232431
32	60.28375387
33	59.38374802
34	58.47621841
35	57.60353189
36	56.77284072
37	55.94912823
38	55.18511996
39	54.40795584
40	53.7476158
41	53.0123477
42	52.3096059
43	51.595731
44	50.94038167
45	50.29795382
46	49.69239135
47	49.00908986
48	48.38534479
49	47.80184928
50	47.23528311
51	46.70875308
52	46.08631754
53	45.54468757
54	44.99315992
55	44.50616667
56	43.92627253
57	43.43627088
58	42.87794943
59	42.34674212
60	41.8001361
61	41.26297403
62	40.76691236
63	40.26545367
64	39.83090614
65	39.31941646
66	38.90298123
67	38.48823576
68	38.11713935
69	37.6191031
70	37.11544979
71	36.63576635
72	36.1533001
73	35.74579542
74	35.36707153
75	35.0072576
76	34.635812
77	34.2928493
78	33.97000582
79	33.56803134
80	33.23005306
81	32.88507429
82	32.5257353
83	32.19826032
84	31.8095559
85	31.48109094
86	31.11997188
87	30.77089118
88	30.44768268
89	30.13015834
90	29.7963658
91	29.46185631
92	29.13823586
93	28.84100741
94	28.58020243
95	28.21310736
96	27.95547728
97	27.63843284
98	27.38419908
99	27.0792438
100	26.82900057
101	26.60226745
102	26.33121161
103	26.00563791
104	25.70623126
105	25.47526373
106	25.17593736
107	24.9489337
108	24.67581476
109	24.43354895
110	24.16620066
111	23.91723302
112	23.71227606
113	23.49340021
114	23.2555699
115	23.04867406
116	22.8492402
117	22.6277373
118	22.40594826
119	22.19726495
120	22.01748133
121	21.8024602
122	21.58184546
123	21.41857698
124	21.23492748
125	21.02147614
126	20.84485466
127	20.67348991
128	20.46451306
129	20.29705322
130	20.09312372
131	19.94725412
132	19.76592137
133	19.62345845
134	19.42523743
135	19.27890281
136	19.10051332
137	18.92761955
138	18.73336426
139	18.59308873
140	18.4434611
141	18.29737059
142	18.14362614
143	17.97817673
144	17.82500299
145	17.68339646
146	17.56218148
147	17.4172409
148	17.27669602
149	17.12444068
150	16.97199454
151	16.83299481
152	16.68159414
153	16.52199888
154	16.40407414
155	16.28358605
156	16.16795948
157	16.01376069
158	15.88981868
159	15.72402414
160	15.59729829
161	15.47088343
162	15.34129341
163	15.20153214
164	15.07135706
165	14.96864869
166	14.86189064
167	14.75223086
168	14.64979429
169	14.54229281
170	14.43418619
171	14.31521988
172	14.19518803
173	14.08445841
174	13.9725304
175	13.8636101
176	13.73945936
177	13.6183699
178	13.51827446
179	13.41847999
180	13.31796616
181	13.26015432
182	13.16045725
183	13.06591527
184	12.98023545
185	12.88901051
186	12.79766036
187	12.69652208
188	12.60988639
189	12.50113455
190	12.38387356
191	12.29786122
192	12.18964331
193	12.08472586
194	11.99732348
195	11.92711166
196	11.82301799
197	11.7416857
198	11.63696962
199	11.54022735
200	11.43620754
201	11.34903385
202	11.24697372
203	11.17183336
204	11.07031025
205	10.99303541
206	10.90440811
207	10.8698383
208	10.80945231
209	10.73045388
210	10.64705498
211	10.61402929
212	10.53651138
213	10.46768965
214	10.40229738
215	10.33007247
216	10.24437455
217	10.21322413
218	10.14743847
219	10.11747683
220	10.03144069
221	9.961749532
222	9.931746852
223	9.855231256
224	9.798574733
225	9.731229614
226	9.702156278
227	9.630538614
228	9.60193659
229	9.577332654
230	9.508554249
231	9.422223918
232	9.340403195
233	9.318291125
234	9.293247047
235	9.267854831
236	9.243462519
237	9.163311517
238	9.095316241
239	9.021474051
240	8.954965807
241	8.884057718
242	8.85430516
243	8.82645679
244	8.791904563
245	8.766150989
246	8.741883343
247	8.672596842
248	8.648368423
249	8.622268241
250	8.60110233
251	8.547849581
252	8.489606047
253	8.459076037
254	8.4361779
255	8.41594461
256	8.350137896
257	8.328828062
258	8.274411314
259	8.217495583
260	8.185525883
261	8.163513124
262	8.14025659
263	8.074132062
264	8.054829097
265	8.007141575
266	7.984503354
267	7.965869804
268	7.902399493
269	7.882331379
270	7.819535881
271	7.757332698
272	7.719415636
273	7.675692535
274	7.617343855
275	7.60049754
276	7.537540585
277	7.515855736
278	7.459866821
279	7.404894113
280	7.388930624
281	7.329555454
282	7.29682431
